Response,Gold_Standard
7,7
0,13
8,8
15,15
13,15
16,16
3,3
0,15
13,13
0,13
0,3
17,0
6,2
0,16
0,11
5,5
0,7
0,2
3,3
15,15
7,7
13,13
16,16
3,16
0,13
0,8
0,0
0,9
6,13
0,1
12,12
12,12
0,15
16,10
4,5
15,15
7,7
3,3
3,3
0,8
3,3
3,0
16,12
3,3
15,15
0,0
0,8
12,12
6,13
5,5
3,16
0,10
4,4
16,16
0,13
5,5
16,16
0,17
3,0
15,15
15,15
5,5
15,15
0,12
5,5
6,6
13,13
12,13
12,12
0,15
0,15
13,13
3,3
0,10
12,8
13,13
3,3
0,13
12,12
3,3
12,12
0,15
16,10
3,10
16,17
0,14
0,8
5,5
6,14
15,15
7,0
17,1
12,0
3,3
12,10
3,16
14,14
0,15
0,10
12,14
6,15
17,10
3,3
3,3
3,3
0,2
2,2
8,8
0,7
16,9
15,15
0,8
15,15
0,15
11,15
0,0
12,12
11,15
3,0
16,16
0,15
3,16
16,9
3,0
15,15
15,15
16,10
12,15
4,9
