Gold_Standard,Prediction
13,13
13,13
15,9
12,8
8,9
0,0
16,16
15,13
14,14
16,16
11,0
5,5
1,10
14,6
0,0
3,3
5,5
2,2
16,3
10,8
8,8
7,6
9,9
16,4
3,3
15,15
2,12
9,9
13,6
5,5
15,14
7,6
10,9
0,0
9,9
16,16
15,11
12,12
15,14
15,11
15,6
15,13
15,6
3,3
15,6
16,8
9,16
13,11
2,2
5,5
15,15
3,3
15,15
1,8
16,16
13,13
2,2
4,4
16,3
0,10
16,3
14,14
3,3
15,11
7,6
15,15
15,11
15,6
13,4
17,16
15,11
15,6
10,10
12,12
16,3
14,6
10,16
10,10
14,14
8,8
2,0
3,3
10,10
7,6
17,16
15,11
13,13
12,8
10,10
15,11
15,13
3,3
0,0
14,6
2,2
13,6
5,5
10,3
10,16
2,6
3,3
15,11
5,5
10,8
15,11
17,16
12,13
3,3
13,6
0,4
14,14
13,13
15,6
5,4
17,8
16,16
16,10
1,1
0,8
15,6
7,0
11,11
13,6
15,11
16,16
5,5
16,16
13,13
15,11
7,7
8,10
15,15
13,13
3,3
10,3
8,8
8,8
5,8
13,13
15,15
9,9
16,16
3,3
8,8
15,15
12,4
3,3
5,5
3,3
16,8
0,0
10,8
8,8
3,3
15,11
8,8
13,11
3,3
15,12
14,14
8,8
9,10
10,16
0,14
15,15
12,12
15,15
13,11
13,13
12,12
0,3
16,16
3,3
11,11
17,10
9,10
0,15
15,15
0,0
0,4
3,3
10,16
15,7
15,15
15,12
0,16
12,12
13,11
15,2
15,0
15,11
9,8
12,4
3,3
3,3
2,6
0,3
6,6
3,3
12,12
14,14
3,3
15,14
3,3
13,13
5,4
0,4
7,7
13,13
12,16
3,3
15,11
13,13
15,6
3,10
13,13
13,14
10,10
16,16
5,5
15,6
15,6
8,8
16,8
15,11
8,8
8,8
9,9
0,9
10,8
15,15
10,16
6,6
16,11
13,13
12,12
8,12
10,7
0,0
13,13
3,6
12,16
0,12
1,8
13,13
12,13
8,8
16,16
12,12
3,3
0,0
14,6
3,3
5,5
3,3
15,11
7,7
3,3
2,2
15,11
7,6
12,12
8,8
13,13
7,6
5,5
0,7
3,3
5,16
15,6
12,8
3,3
10,16
16,2
12,12
0,0
12,12
8,8
15,11
13,13
3,3
8,8
4,4
13,13
15,11
0,0
16,16
7,6
15,11
10,8
